UnitID,Institution Name,Tuition and fees (F0607_F3_RV),Imputation/Status Flag For Tuition and fees (F0607_F3_RV),Federal appropriations  grants and contracts (F0607_F3_RV),Imputation/Status Flag For Federal appropriations  grants and contracts (F0607_F3_RV),State and local appropriations  grants and contracts (F0607_F3_RV),Imputation/Status Flag For State and local appropriations  grants and contracts (F0607_F3_RV),Private grants and contracts (F0607_F3_RV),Imputation/Status Flag For Private grants and contracts (F0607_F3_RV),Investment income and investment gains (losses) included in net income (F0607_F3_RV),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F0607_F3_RV),Sales and services of educational activities (F0607_F3_RV),Imputation/Status Flag For Sales and services of educational activities (F0607_F3_RV),Sales and services of auxiliary enterprises (F0607_F3_RV),Imputation/Status Flag For Sales and services of auxiliary enterprises (F0607_F3_RV),Other revenue (F0607_F3_RV),Imputation/Status Flag For Other revenue (F0607_F3_RV),Total revenues and investment return (F0607_F3_RV),Imputation/Status Flag For Total revenues and investment return (F0607_F3_RV)
448099,4-States Academy of Cosmetology,132976,R,28000,R,0,R,0,R,0,R,25453,R,0,Z,0,R,186429,R
436526,A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,491702,R,214221,R,0,R,0,R,0,R,0,R,0,R,0,R,705923,R
449940,A.B.I. School of Barbering & Cosmetology of Tribeca Inc.,200332,R,20358,R,0,R,0,R,0,R,0,R,0,R,0,R,220690,R
161615,Aaron's Academy of Beauty,222988,R,0,R,0,R,0,Z,0,Z,0,Z,188669,R,0,R,411657,R
176497,Abbott Academy of Cosmetology Arts and Sciences LLC,484053,P,0,P,0,P,0,P,0,P,61714,P,0,P,0,P,545767,P
106281,ABC Beauty College Inc,216630,R,0,R,0,R,0,R,716,R,13407,R,0,R,0,R,230753,R
208123,Abdill Career College Inc,441416,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,441416,R
421896,Academia Serrant Inc,1119347,R,0,R,0,R,0,R,0,R,0,R,0,R,94520,R,1213867,R
429003,Academia Vocational Del Turabo,409122,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,409122,R
172866,Academy College,1606492,R,213461,R,156590,R,2000,R,299,R,164812,R,64512,R,0,R,2208166,R
449463,Academy Di Capelli-School of Cosmetology,313086,R,0,R,0,R,0,R,0,Z,0,Z,0,Z,19612,R,332698,R
108232,Academy of Art University,116574424,R,0,R,0,R,0,R,532360,R,0,R,9397648,R,0,R,126504432,R
442912,Academy of Cosmetology,98256,R,0,R,0,R,0,R,0,R,11569,R,0,R,1,R,109826,R
372462,Academy of Cosmetology,307316,R,0,R,0,Z,0,Z,0,Z,104314,R,0,Z,0,R,411630,R
409209,Academy of Cosmetology,607603,R,0,R,0,R,0,R,0,R,178270,R,27397,R,0,R,813270,R
449852,Academy of Cosmetology,211469,R,0,R,18121,R,0,R,0,R,94533,R,0,R,27672,R,351795,R
179991,Academy of Cosmetology Inc,308357,R,0,R,0,R,0,R,519,R,115669,R,0,R,0,R,424545,R
450438,Academy of Court Reporting and Technology-Pittsburgh,1011142,R,0,R,0,R,0,R,0,R,0,R,103519,R,0,R,1114661,R
363457,Academy of Court Reporting-Clawson,3641568,R,0,Z,0,Z,0,Z,0,Z,0,Z,446429,R,0,R,4087997,R
154633,Academy of Hair Design Inc,265600,R,197626,R,0,R,2016,R,2176,R,96194,R,0,R,0,R,563612,R
175722,Academy of Hair Design-Grenada,180553,R,0,R,0,R,0,R,0,R,48041,R,0,R,0,R,228594,R
374316,Academy of Hair Design-Jackson,447028,R,0,R,0,R,0,R,0,R,168659,R,0,R,0,R,615687,R
447449,Academy of Hair Design-Jasper,154880,R,0,R,0,R,0,R,0,R,48000,R,0,R,0,R,202880,R
181880,Academy of Hair Design-Las Vegas,2389169,R,0,R,0,R,0,R,0,R,375909,R,0,R,0,R,2765078,R
434274,Academy of Hair Design-Lufkin,253310,R,0,R,0,R,0,R,0,Z,48000,R,0,R,0,R,301310,R
382461,Academy of Hair Design-Pearl,279504,R,0,R,0,R,0,R,0,R,89118,R,0,R,0,R,368622,R
208080,Academy of Hair Design-Salem,391539,R,0,R,0,R,0,R,0,R,143471,R,0,R,0,R,535010,R
376446,Academy of Hair Technology,888523,R,0,Z,0,Z,0,Z,3936,R,101952,R,11180,R,244,R,1005835,R
367264,Academy of Healing Arts,3848986,R,0,R,0,R,0,R,0,R,47001,R,0,R,0,R,3895987,R
437501,Academy of Massage Therapy,1006051,R,0,R,0,R,0,R,0,R,132129,R,99241,R,0,R,1237421,R
449454,Academy of Natural Therapy Inc,225339,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,225339,R
136048,Academy of Palm Beach,761415,R,0,R,0,R,0,R,5838,R,182734,R,0,R,0,R,949987,R
107293,Academy of Salon and Spa,133141,R,81971,R,0,Z,0,Z,0,Z,166547,R,0,Z,0,R,381659,R
449676,Ace Institute of Technology,754911,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,754911,R
419022,ACT College,5931386,R,0,R,0,R,0,R,0,R,17283,R,0,R,0,R,5948669,R
439969,Acupuncture and Massage College,1205068,R,41521,R,3388,R,0,R,0,R,34514,R,0,R,161785,R,1446276,R
419314,Adirondack Beauty School,144901,R,69760,R,3000,R,0,R,0,R,16926,R,0,R,12801,R,247388,R
400187,Advance Beauty College,1154477,R,0,R,0,R,0,R,0,R,0,R,0,R,133159,R,1287636,R
444334,Advance Science International College,81605,R,0,Z,0,Z,0,Z,1713,R,0,Z,0,Z,363921,R,447239,R
444352,Advance Tech College,222658,R,0,R,90378,R,0,R,0,R,0,R,0,R,0,R,313036,R
437608,Advanced Barber College and Hair Design,66802,R,341777,R,0,R,0,R,0,R,30677,R,0,R,0,R,439256,R
444343,Advanced College,818456,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,818456,R
238166,Advanced Institute of Hair Design-Glendale,1046126,R,0,R,0,R,0,R,0,R,565760,R,0,R,162289,R,1774175,R
231411,Advanced Technology Institute,8018276,R,609855,R,0,Z,0,Z,30877,R,0,Z,779377,R,0,R,9438385,R
423397,Advantage Technical College,418356,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,418356,R
161651,Aesthetics Institute of Cosmetology,97292,R,204819,R,0,R,0,R,0,R,0,R,0,R,0,R,302111,R
134811,AI Miami International University of Art and Design,43413574,R,3223691,R,0,Z,0,Z,0,Z,0,Z,2796341,R,0,R,49433606,R
419147,Ailano School of Cosmetology,619209,R,0,R,0,R,0,R,0,R,11749,R,0,R,0,R,630958,R
376710,Aims Academy,465815,P,0,P,0,P,0,P,0,P,0,P,0,P,0,P,465815,P
371034,Alabama State College of Barber Styling,63913,R,0,R,0,R,0,R,0,R,0,R,0,R,24865,R,88778,R
103501,Alaska Career College,2874508,R,0,R,0,R,0,R,79352,R,100277,R,0,R,0,R,3054137,R
158079,Alexandria Academy of Beauty Culture,142116,R,0,R,0,Z,0,Z,0,Z,50831,R,0,Z,0,R,192947,R
368036,Alexandria School of Scientific Therapeutics,418863,R,62816,R,53714,R,0,R,0,R,0,R,53609,R,186392,R,775394,R
393524,Alhambra Beauty College,272580,R,525532,R,0,R,0,R,0,R,76075,R,0,R,0,R,874187,R
210599,All-State Career School,6869943,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,6869943,R
418658,All-State Career School-Pittsburgh,1842349,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1842349,R
373784,All-State Career-Baltimore,8130811,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,8130811,R
231721,Allegiance Beauty School,24632,R,272103,R,0,R,0,R,0,R,124802,R,0,R,0,R,421537,R
188650,Allen School-Brooklyn,5177567,R,0,R,0,R,0,R,2309,R,0,R,0,R,0,R,5179876,R
415987,Allen School-Jamaica,5096967,R,0,R,0,R,0,R,849,R,0,R,0,R,0,R,5097816,R
367316,Allied Health Careers,3303713,R,824654,R,0,Z,0,Z,44729,R,0,Z,0,Z,2,R,4173098,R
248192,Allure Beauty College,222750,R,0,R,0,Z,0,Z,194,R,93550,R,0,Z,0,R,316494,R
449843,Alpine College,130073,R,73695,R,68600,R,0,R,0,R,0,R,0,R,26600,R,298968,R
363590,Altierus Career College Everett,3415979,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3415979,R
443854,Altierus Career College-Arlington,6696285,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,6696285,R
442727,Altierus Career College-Austin,11180205,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,11180205,R
445461,Altierus Career College-Bissonnet,10587599,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,10587599,R
438647,Altierus Career College-Chesapeake,7548489,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,7548489,R
126401,Altierus Career College-Colorado Springs,4891440,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,4891440,R
447209,Altierus Career College-Columbus,7648692,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,7648692,R
441016,Altierus Career College-Houston Hobby,8413929,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,8413929,R
443748,Altierus Career College-Norcross,8018556,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,8018556,R
445434,Altierus Career College-Orange Park,9615579,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,9615579,R
227003,Altierus Career College-San Antonio,9744764,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,9744764,R
444024,Altierus Career College-Tacoma,5212336,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5212336,R
137801,Altierus Career College-Tampa,14851302,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,14851302,R
127787,Altierus Career College-Thornton,6557744,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,6557744,R
442620,Altierus Career College-Tigard,3337730,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3337730,R
449269,Altierus Career Education-South Plainfield,2103230,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2103230,R
171322,Altierus Career Education-Southfield,14486822,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,14486822,R
210748,Altoona Beauty School Inc,361350,R,0,R,0,R,0,R,1402,R,140785,R,0,R,-21056,R,482481,R
447254,Alvareitas College of Cosmetology-Belleville,186108,R,0,R,0,R,0,R,0,R,73212,R,0,R,1258,R,260578,R
142869,Alvareitas College of Cosmetology-Edwardsville,293148,R,0,R,0,R,0,R,0,R,109616,R,0,R,381,R,403145,R
142878,Alvareitas College of Cosmetology-Godfrey,163057,R,0,R,0,R,0,R,1333,R,105720,R,0,R,101753,R,371863,R
365107,America's Career Institute,298749,R,0,R,0,R,0,R,0,R,6821,R,0,R,27341,R,332911,R
142887,American Academy of Art College,7551655,R,372403,R,0,Z,0,Z,154154,R,0,Z,0,Z,0,R,8078212,R
446002,American Academy of Health and Wellness,716241,R,0,R,0,R,0,Z,1907,R,472708,R,0,R,0,R,1190856,R
444370,American Advanced Technicians Institute,822321,R,0,R,0,R,0,R,1658,R,0,R,0,R,0,R,823979,R
431637,American Beauty Academy,2378939,R,0,R,0,R,0,R,0,R,0,R,165428,R,0,R,2544367,R
108977,American Beauty College,9735,R,70609,R,0,R,0,R,0,R,8120,R,0,R,0,R,88464,R
365453,American Beauty Institute,200034,R,0,R,0,R,0,R,0,R,35566,R,0,R,0,R,235600,R
189477,American Beauty School,245135,R,223496,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,468631,R
206783,American Broadcasting School-Oklahoma City,1856648,R,0,R,0,R,0,R,8819,R,0,R,0,R,0,R,1865467,R
109040,American Career College-Los Angeles,32894254,R,0,R,0,R,0,R,7267,R,0,R,0,R,0,R,32901521,R
447768,American Career College-Ontario,4226547,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,4226547,R
444176,American Career Institute-Wheaton,612851,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,612851,R
429085,American College of Acupuncture and Oriental Med,1096922,R,24550,R,0,Z,67925,R,1103,R,441462,R,34580,R,0,R,1666542,R
179229,American College of Hair Design Inc,137394,R,271897,R,0,Z,0,Z,3439,R,113491,R,0,Z,0,R,526221,R
153092,American College of Hairstyling-Cedar Rapids,145322,R,0,R,0,Z,0,Z,0,Z,121469,R,0,Z,0,R,266791,R
153588,American College of Hairstyling-Des Moines,206549,R,0,R,0,R,0,R,0,R,173487,R,0,R,0,R,380036,R
422835,American College of Healthcare and Technology,503737,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,503737,R
222691,American Commercial College-Abilene,734066,R,442687,R,98306,R,0,R,8277,R,0,R,0,R,0,R,1283336,R
222682,American Commercial College-Lubbock,859954,R,471774,R,69676,R,0,R,9834,R,0,R,0,R,0,R,1411238,R
222707,American Commercial College-Odessa,662885,R,299755,R,7000,R,0,R,6608,R,0,R,0,R,0,R,976248,R
222673,American Commercial College-San Angelo,794159,R,400740,R,78863,R,0,R,9326,R,0,R,0,R,0,R,1283088,R
445832,American Commercial College-Shreveport,508268,R,306380,R,259260,R,0,R,7316,R,0,R,0,R,0,R,1081224,R
423582,American Commercial College-Wichita Falls,496572,R,312097,R,218423,R,0,R,9359,R,0,R,0,R,9359,R,1045810,R
241146,American Educational College,274011,R,3177104,R,109387,R,0,R,0,R,0,R,0,R,0,R,3560502,R
153463,American Hair Academy,92185,R,0,R,0,Z,0,Z,0,Z,49743,R,0,Z,61429,R,203357,R
441636,American Institute of Alternative Medicine,1458824,R,0,R,0,R,0,R,3158,R,326810,R,0,R,0,R,1788792,R
447883,American Institute of Beauty,594518,R,98000,R,0,Z,0,Z,0,Z,45000,R,0,Z,0,R,737518,R
447795,American Institute of Massage Therapy,338482,R,0,R,0,R,0,R,0,R,0,R,0,R,79446,R,417928,R
103811,American Institute of Trucking,4639449,R,0,R,0,R,0,R,113827,R,0,R,0,R,821681,R,5574957,R
129482,American Institute-West Hartford,3253152,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3253152,R
109013,American InterContinental University,21844678,R,0,R,0,R,0,R,0,R,0,R,1114792,R,0,R,22959470,R
138725,American InterContinental University,23488881,R,0,R,0,R,0,R,0,R,0,R,22331,R,0,R,23511212,R
445027,American InterContinental University,431970198,R,0,R,0,R,0,R,0,R,0,R,6170,R,1501517,R,433477885,R
438586,American InterContinental University-Atlanta,22320777,R,0,R,0,R,0,R,0,R,0,R,750627,R,0,R,23071404,R
445133,American InterContinental University-Houston,6509172,R,0,R,0,R,0,R,0,R,0,R,937306,R,0,R,7446478,R
438601,American InterContinental University-South Florida,23692163,R,0,R,0,R,0,R,0,R,0,R,1995061,R,635,R,25687859,R
420194,American National College,990000,R,260500,R,0,Z,0,Z,0,Z,0,Z,0,Z,1119816,R,2370316,R
376987,American National College,875900,R,0,R,0,R,0,R,0,R,80000,R,0,R,59950,R,1015850,R
232797,American National University,11096499,R,14013025,R,1631066,R,0,R,187233,R,3059491,R,529651,R,308658,R,30825623,R
157021,American National University-Pikeville,8709502,R,9822901,R,2111996,R,0,R,261598,R,2261333,R,0,R,1095460,R,24262790,R
424008,American Pacific College,570068,R,0,R,0,R,0,R,0,R,0,R,0,R,3006,R,573074,R
449339,American Public University System,38802293,R,0,R,0,R,0,R,289230,R,1242751,R,0,R,0,R,40334274,R
158158,American School of Business,93916,R,375662,R,0,R,0,R,0,R,0,R,0,R,0,R,469578,R
203225,American School of Technology,836242,R,0,R,10400,R,9500,R,0,R,0,R,0,R,1316107,R,2172249,R
441715,American Technological College,484255,R,0,R,0,R,0,R,0,R,88141,R,0,R,568255,R,1140651,R
433004,American University of Health Sciences,1267549,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1267549,R
229957,AmeriTech College-Provo,4313768,R,0,R,0,R,0,R,10932,R,0,R,0,R,455848,R,4780548,R
446020,Amesed,21132,R,2700,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,23832,R
444389,Anamarc College-El Paso Central,2774374,R,82839,R,193647,R,0,Z,0,Z,0,Z,0,Z,0,R,3050860,R
441399,Angley College,1641357,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1641357,R
410256,Ann Arbor Institute of Massage Therapy,545435,R,39151,R,0,Z,0,Z,0,Z,107924,R,101764,R,0,R,794274,R
434292,Anson College of Cosmetology,5050,R,0,R,0,R,25550,R,0,R,6060,R,0,R,0,R,36660,R
445601,Anthem Career College-Memphis,13720301,R,0,R,0,R,0,R,59199,R,0,R,0,R,45154,R,13824654,R
440110,Anthem Career College-Nashville,11905913,R,0,R,0,R,0,R,51370,R,0,R,0,R,39183,R,11996466,R
450155,Anthem College-Brookfield,1661241,R,0,R,0,R,0,R,0,R,0,R,0,R,855,R,1662096,R
410539,Anthem College-Denver,5765337,R,0,R,0,R,0,R,24876,R,0,R,0,R,18973,R,5809186,R
443739,Anthem College-Fenton,5704833,R,0,R,0,R,0,R,0,R,0,R,0,R,33680,R,5738513,R
440129,Anthem College-Irving,7714125,R,0,R,0,R,0,R,33284,R,0,R,0,R,25388,R,7772797,R
445610,Anthem College-Kansas City,5588204,R,0,R,0,R,0,R,24111,R,0,R,0,R,18392,R,5630707,R
176549,Anthem College-Maryland Heights,18355980,R,0,R,0,R,0,R,0,R,0,R,0,R,82118,R,18438098,R
430050,Anthem College-Minnesota,6928002,R,0,R,0,R,0,R,29892,R,0,R,0,R,22801,R,6980695,R
436225,Anthem College-Orlando,11355722,R,0,R,0,R,0,R,48996,R,0,R,0,R,37373,R,11442091,R
104805,Anthem College-Phoenix,107126341,R,0,R,0,R,0,R,462216,R,0,R,0,R,352559,R,107941116,R
446853,Anthem College-Portland,4191989,R,0,R,0,R,0,R,0,R,0,R,0,R,33969,R,4225958,R
413635,Anthem College-Sacramento,6892080,R,0,R,0,R,0,R,29737,R,0,R,0,R,22682,R,6944499,R
442462,Anthem Institute-Cherry Hill,5760800,R,0,R,0,R,0,R,101452,R,0,R,0,R,55314,R,5917566,R
442648,Anthem Institute-Las Vegas,5213916,R,0,R,0,R,0,R,22496,R,0,R,0,R,17160,R,5253572,R
441584,Anthem Institute-Manhattan,12396352,R,0,R,0,R,0,R,163696,R,0,R,0,R,89249,R,12649297,R
213312,Anthem Institute-Springfield,10803997,R,0,R,0,R,0,R,142668,R,0,R,0,R,77785,R,11024450,R
241182,Antilles School of Technical Careers,1659357,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1659357,R
201016,Antonelli College-Cincinnati,12359361,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,12359361,R
210890,Antonelli Institute,3871825,R,0,R,0,R,0,R,10515,R,0,R,5648,R,0,R,3887988,R
250072,Antonelli Medical and Professional Institute,384544,R,0,R,0,R,0,R,5906,R,0,R,66453,R,0,R,456903,R
429094,AOMA Graduate School of Integrative Medicine,2191827,R,0,R,0,R,0,R,13772,R,820990,R,324036,R,49503,R,3400128,R
150075,Apex Academy of Hair Design Inc,125959,R,26889,R,0,Z,0,R,0,R,0,R,0,R,0,R,152848,R
188890,Apex Technical School,17887958,R,0,R,0,R,0,R,167121,R,0,R,0,R,1797177,R,19852256,R
237127,Appalachian Beauty School,2800,R,163330,R,0,Z,0,Z,0,Z,15231,R,0,Z,10200,R,191561,R
367936,Argosy University-Atlanta,23285718,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,23285718,R
145770,Argosy University-Chicago,15051547,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,15051547,R
448734,Argosy University-Denver,850281,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,850281,R
366748,Argosy University-Hawaii,6113856,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,6113856,R
450526,Argosy University-Inland Empire,1474948,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1474948,R
447272,Argosy University-Los Angeles,1258151,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1258151,R
450535,Argosy University-Nashville,2277792,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2277792,R
419457,Argosy University-Northern Virginia,12896534,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,12896534,R
436094,Argosy University-Phoenix,7941852,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,7941852,R
450544,Argosy University-San Diego,700823,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,700823,R
121983,Argosy University-San Francisco Bay Area,9209145,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,9209145,R
137148,Argosy University-Sarasota,17713481,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,17713481,R
420866,Argosy University-Schaumburg,7604084,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,7604084,R
439057,Argosy University-Seattle,5150624,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,5150624,R
428268,Argosy University-Tampa,7721412,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,7721412,R
410502,Argosy University-The Art Institute of California-Hollywood,11020542,R,1103559,R,0,R,0,R,0,R,0,R,956552,R,0,R,13080653,R
448576,Argosy University-The Art Institute of California-Inland Empire,6653468,R,614026,R,0,R,0,R,0,R,0,R,365899,R,0,R,7633393,R
432533,Argosy University-The Art Institute of California-Los Angeles,34470578,R,3273593,R,0,R,0,R,0,R,0,R,4016137,R,0,R,41760308,R
441973,Argosy University-The Art Institute of California-Orange County,32547265,R,1821047,R,0,Z,0,Z,0,Z,0,Z,2782179,R,0,R,37150491,R
450094,Argosy University-The Art Institute of California-Sacramento,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,Z
117113,Argosy University-The Art Institute of California-San Diego,39181177,R,2256110,R,0,R,0,R,0,R,0,R,3336255,R,0,R,44773542,R
117928,Argosy University-The Art Institute of California-San Francisco,26882939,R,2011807,R,0,Z,0,Z,0,Z,0,Z,3371883,R,0,R,32266629,R
173984,Argosy University-Twin Cities,22172473,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,22172473,R
103954,Arizona Academy of Beauty,413243,R,0,R,0,R,0,R,10041,R,56011,R,0,R,0,R,479295,R
262235,Arizona Academy of Beauty-North,447763,R,0,R,0,R,0,R,6023,R,120962,R,0,R,0,R,574748,R
421708,Arizona College of Nursing-Tempe,2566102,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2566102,R
446039,Arizona School of Acupuncture and Oriental Medicine,406929,R,0,R,0,R,0,R,12000,R,0,R,132777,R,15628,R,567334,R
106324,Arkansas Beauty College,82147,R,0,R,0,Z,0,Z,0,Z,110655,R,0,Z,104609,R,297411,R
371140,Arkansas Beauty School,265316,R,110938,R,3075,R,0,Z,0,Z,56334,R,0,Z,0,R,435663,R
106315,Arkansas Beauty School-Little Rock,7540,R,231157,R,1386,R,0,R,0,R,89415,R,0,R,0,R,329498,R
106351,Arkansas Technical School,442711,R,0,R,0,R,0,R,0,R,179061,R,0,R,0,R,621772,R
222886,Arlington Career Institute,2420223,R,0,R,188390,R,0,R,15953,R,0,R,0,R,0,R,2624566,R
429100,Arlington Medical Institute,239820,R,0,R,0,R,0,R,56526,R,0,R,0,R,5721,R,302067,R
219587,Arnolds Beauty School,383287,R,0,R,0,R,0,R,2071,R,86726,R,238913,R,2666,R,713663,R
106360,Arthur's Beauty College,225000,R,0,R,0,R,0,R,0,R,0,R,0,R,11290,R,236290,R
106494,Arthur's Beauty College,1187500,R,0,R,0,R,0,R,0,R,0,R,0,R,387772,R,1575272,R
414063,Artistic Academy of Hair Design,1744278,R,0,R,0,Z,0,Z,0,Z,130345,R,0,R,0,R,1874623,R
128203,Artistic Beauty Colleges-Westminster,747253,R,0,R,0,Z,0,Z,0,Z,50597,R,0,Z,79191,R,877041,R
378886,Artistic Nails and Beauty Academy-Tampa,1164940,R,0,R,0,R,0,R,0,R,166693,R,0,R,0,R,1331633,R
404994,ASA College,43037352,R,0,R,0,R,0,R,68822,R,0,R,0,R,0,R,43106174,R
382382,Ascension College,975696,R,0,R,0,R,0,R,0,R,0,R,0,Z,0,R,975696,R
447777,Asher College,1886902,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1886902,R
234119,Asher Institute of Hampton,343054,R,0,R,0,R,0,R,3808,R,112606,R,0,R,99082,R,558550,R
154022,Ashford University,26756205,R,4222719,R,331963,R,0,R,9640,R,0,R,130681,R,0,R,31451208,R
414027,Ashmead College-Everett Campus,2404728,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2404728,R
393861,Asian-American International Beauty College,37400,R,380962,R,457732,R,0,Z,0,Z,56750,R,0,Z,123917,R,1056761,R
428037,Askins Vo-Tech,85776,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,85776,R
391546,ASM Beauty World Academy,523825,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,523825,R
109721,Associated Technical College-Los Angeles,4041483,R,1951413,R,0,R,0,R,0,R,0,R,0,R,300,R,5993196,R
109730,Associated Technical College-San Diego,1388008,R,245450,R,0,R,0,R,0,R,0,R,0,R,0,R,1633458,R
446127,ATA Career Education,1513653,R,0,R,108137,R,0,R,1310,R,0,R,0,R,0,R,1623100,R
444361,ATA College,632276,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,632276,R
447935,ATA College,4583038,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,4583038,R
449728,ATA College,351478,R,0,R,0,R,0,R,0,R,90877,R,0,R,0,R,442355,R
249247,ATI Career Training Center-Dallas,11893462,R,0,R,0,R,0,R,25859,R,0,R,0,R,79663,R,11998984,R
137892,ATI Career Training Center-Fort Lauderdale,4868764,R,0,R,0,R,0,R,10564,R,0,R,0,R,14606,R,4893934,R
136738,ATI Career Training Center-Miami,5470399,R,0,R,0,R,0,R,20927,R,0,R,0,R,5811,R,5497137,R
250920,ATI Career Training Center-North Richland Hills,7363008,R,0,R,0,R,0,R,27993,R,0,R,0,R,122169,R,7513170,R
136747,ATI Career Training Center-Oakland Park,3961308,R,0,R,0,R,0,R,20280,R,0,R,0,R,52681,R,4034269,R
134875,ATI College of Health,9407426,R,0,R,0,R,0,R,7347,R,0,R,0,R,8566,R,9423339,R
450012,ATI College-Santa Ana,328252,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,328252,R
444325,ATI College-Whittier,1886807,R,0,R,0,R,0,R,0,Z,0,R,0,Z,0,R,1886807,R
222761,ATI Technical Training Center,10940221,R,0,R,0,R,0,R,41888,R,0,R,0,R,51445,R,11033554,R
419244,Atlanta Institute of Music and Media,965264,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,965264,R
138938,Atlanta School of Massage,2456443,R,0,R,0,R,0,R,14787,R,652782,R,0,R,275823,R,3399835,R
138929,Atlanta's John Marshall Law School,8451413,R,0,R,0,R,0,R,0,R,0,R,0,R,59705,R,8511118,R
385929,Audio Recording Technology Institute,892936,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,892936,R
447917,Augusta School of Massage,190816,R,0,R,0,R,0,R,0,R,95788,R,823014,R,0,R,1109618,R
444556,Auguste Escoffier School of Culinary Arts-Austin,670633,R,0,R,0,Z,0,R,0,Z,24669,R,0,Z,0,R,695302,R
188988,Austin's School of Spa Technology,723583,R,319984,R,0,Z,0,Z,0,Z,25019,R,0,R,0,R,1068586,R
418782,Automeca Technical College-Aguadilla,1168672,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1168672,R
419703,Automeca Technical College-Bayamon,2540919,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,156914,R,2697833,R
419712,Automeca Technical College-Caguas,980542,R,0,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,980542,R
